Train_ID,Train_Type,Current_Position,Delay_Min,Buffer_Min,Track_Availability,Stopping_Pattern,Section_Type,Speed_Limit,Decision,Hold_Station,Hold_Time,Reroute_Path,Additional_Time,Reason
T0507,Passenger,Section_34,108,16,Free,Skip,Double-line,60,Allow Train T0507 to go first,,,,,
T0508,Passenger,Section_50,5,7,Occupied,Skip,Single-line,100,Reroute Train T0508,,,Station_39 → Station_6 → Section_8,8.0,Congestion
T0509,Express,Section_16,80,34,Free,Skip,Double-line,80,Hold Train T0509,Station_10,21.0,,,
T0510,Express,Section_27,53,35,Free,All Stops,Double-line,110,Hold Train T0510,Station_49,5.0,,,
T0511,Freight,Station_3,58,9,Occupied,Skip,Double-line,120,Hold Train T0511,Station_6,7.0,,,
T0512,Passenger,Section_20,0,27,Free,All Stops,Single-line,80,Hold Train T0512,Station_26,17.0,,,
T0513,Express,Station_2,71,2,Free,Skip,Single-line,110,Allow Train T0513 to go first,,,,,
T0514,Passenger,Station_8,81,48,Free,All Stops,Single-line,120,Hold Train T0514,Station_18,13.0,,,
T0515,Express,Station_42,102,38,Occupied,Skip,Double-line,90,Reroute Train T0515,,,Section_38 → Section_13 → Station_1,10.0,Congestion
T0516,Express,Section_45,95,18,Free,All Stops,Single-line,120,Hold Train T0516,Station_14,18.0,,,
T0517,Freight,Station_3,74,5,Free,Skip,Double-line,90,Allow Train T0517 to go first,,,,,
T0518,Express,Station_24,70,58,Occupied,All Stops,Double-line,120,Allow Train T0518 to go first,,,,,
T0519,Express,Section_29,48,41,Occupied,Skip,Single-line,90,Allow Train T0519 to go first,,,,,
T0520,Passenger,Station_41,17,54,Occupied,Skip,Double-line,90,Allow Train T0520 to go first,,,,,
T0521,Freight,Section_48,54,16,Free,All Stops,Double-line,90,Reroute Train T0521,,,Station_3 → Station_32 → Section_2,22.0,Congestion
T0522,Express,Station_46,111,45,Occupied,All Stops,Single-line,110,Hold Train T0522,Station_18,27.0,,,
T0523,Passenger,Section_3,19,12,Free,Skip,Double-line,60,Hold Train T0523,Station_26,30.0,,,
T0524,Passenger,Section_28,99,39,Occupied,All Stops,Single-line,80,Hold Train T0524,Station_38,14.0,,,
T0525,Freight,Section_13,116,54,Free,Skip,Single-line,90,Allow Train T0525 to go first,,,,,
T0526,Freight,Section_18,49,11,Free,All Stops,Single-line,60,Hold Train T0526,Station_27,17.0,,,
T0527,Express,Section_9,119,36,Occupied,Skip,Single-line,90,Hold Train T0527,Station_40,23.0,,,
T0528,Freight,Section_35,105,9,Free,Skip,Double-line,110,Reroute Train T0528,,,Section_12 → Section_2 → Section_22,37.0,Weather
T0529,Freight,Section_14,57,39,Free,All Stops,Double-line,60,Hold Train T0529,Station_8,12.0,,,
T0530,Passenger,Section_18,22,3,Occupied,Skip,Single-line,90,Allow Train T0530 to go first,,,,,
T0531,Freight,Section_18,95,12,Free,Skip,Single-line,100,Allow Train T0531 to go first,,,,,
T0532,Express,Station_1,114,4,Occupied,All Stops,Single-line,120,Reroute Train T0532,,,Section_40 → Section_10 → Section_2,14.0,Maintenance
T0533,Passenger,Section_45,83,42,Free,Skip,Double-line,120,Reroute Train T0533,,,Station_10 → Station_28 → Station_39,12.0,Maintenance
T0534,Express,Section_17,103,36,Occupied,All Stops,Single-line,120,Reroute Train T0534,,,Section_11 → Station_17 → Station_5,39.0,Weather
T0535,Freight,Station_42,106,42,Occupied,All Stops,Single-line,120,Reroute Train T0535,,,Section_40 → Station_18 → Station_38,5.0,Accident
T0536,Freight,Section_41,83,9,Free,Skip,Single-line,90,Allow Train T0536 to go first,,,,,
T0537,Express,Section_23,119,31,Occupied,All Stops,Single-line,110,Hold Train T0537,Station_36,24.0,,,
T0538,Passenger,Station_17,117,60,Free,All Stops,Double-line,110,Allow Train T0538 to go first,,,,,
T0539,Express,Station_11,60,42,Occupied,Skip,Single-line,100,Reroute Train T0539,,,Section_3 → Station_13 → Section_18,32.0,Accident
T0540,Passenger,Station_20,96,48,Occupied,Skip,Double-line,80,Hold Train T0540,Station_32,13.0,,,
T0541,Express,Section_41,20,20,Free,Skip,Single-line,100,Reroute Train T0541,,,Section_30 → Station_41 → Section_2,11.0,Maintenance
T0542,Express,Section_14,62,31,Free,Skip,Single-line,100,Hold Train T0542,Station_4,12.0,,,
T0543,Passenger,Station_12,96,36,Free,Skip,Single-line,120,Hold Train T0543,Station_40,28.0,,,
T0544,Freight,Section_27,92,4,Free,All Stops,Single-line,80,Hold Train T0544,Station_3,11.0,,,
T0545,Passenger,Section_44,23,51,Occupied,All Stops,Double-line,100,Hold Train T0545,Station_36,24.0,,,
T0546,Express,Section_50,34,31,Occupied,Skip,Double-line,120,Reroute Train T0546,,,Section_4 → Station_17 → Section_50,19.0,Accident
T0547,Express,Station_1,88,53,Occupied,All Stops,Double-line,60,Reroute Train T0547,,,Station_10 → Section_11 → Section_31,7.0,Accident
T0548,Express,Section_12,88,15,Free,All Stops,Single-line,90,Hold Train T0548,Station_25,11.0,,,
T0549,Passenger,Station_5,77,52,Free,All Stops,Single-line,90,Hold Train T0549,Station_35,28.0,,,
T0550,Express,Section_44,94,51,Free,All Stops,Double-line,90,Hold Train T0550,Station_46,30.0,,,
T0551,Freight,Section_1,85,23,Free,Skip,Double-line,60,Reroute Train T0551,,,Section_13 → Section_11 → Station_1,8.0,Accident
T0552,Express,Section_26,31,57,Free,All Stops,Double-line,90,Allow Train T0552 to go first,,,,,
T0553,Freight,Station_36,2,48,Free,Skip,Single-line,60,Reroute Train T0553,,,Station_4 → Section_38 → Station_27,29.0,Weather
T0554,Express,Section_49,120,47,Free,Skip,Double-line,110,Reroute Train T0554,,,Section_2 → Section_38 → Station_36,6.0,Weather
T0555,Freight,Section_20,1,9,Occupied,All Stops,Single-line,110,Reroute Train T0555,,,Station_44 → Station_12 → Station_49,23.0,Weather
T0556,Freight,Section_27,26,55,Free,Skip,Double-line,120,Hold Train T0556,Station_9,11.0,,,
T0557,Express,Station_25,77,29,Occupied,All Stops,Single-line,110,Reroute Train T0557,,,Station_7 → Section_48 → Section_49,32.0,Weather
T0558,Express,Section_15,92,38,Occupied,Skip,Single-line,60,Reroute Train T0558,,,Section_42 → Station_16 → Section_27,10.0,Accident
T0559,Express,Station_11,11,12,Free,All Stops,Double-line,60,Allow Train T0559 to go first,,,,,
T0560,Passenger,Section_19,35,35,Occupied,Skip,Double-line,80,Hold Train T0560,Station_16,10.0,,,
T0561,Freight,Station_16,14,38,Occupied,Skip,Double-line,100,Reroute Train T0561,,,Section_37 → Station_21 → Station_19,6.0,Accident
T0562,Express,Section_27,115,30,Free,All Stops,Double-line,90,Hold Train T0562,Station_46,13.0,,,
T0563,Passenger,Section_12,92,44,Free,Skip,Single-line,60,Hold Train T0563,Station_49,7.0,,,
T0564,Passenger,Station_50,95,4,Occupied,Skip,Double-line,100,Hold Train T0564,Station_25,18.0,,,
T0565,Express,Section_3,23,15,Occupied,All Stops,Single-line,90,Allow Train T0565 to go first,,,,,
T0566,Express,Station_18,95,24,Free,All Stops,Single-line,80,Hold Train T0566,Station_32,22.0,,,
T0567,Passenger,Station_1,27,58,Occupied,All Stops,Single-line,90,Allow Train T0567 to go first,,,,,
T0568,Passenger,Station_31,5,25,Occupied,Skip,Double-line,60,Hold Train T0568,Station_3,9.0,,,
T0569,Freight,Section_18,113,41,Free,All Stops,Double-line,60,Reroute Train T0569,,,Section_20 → Section_26 → Station_16,5.0,Congestion
T0570,Freight,Station_6,75,7,Free,Skip,Single-line,120,Allow Train T0570 to go first,,,,,
T0571,Express,Station_47,17,1,Occupied,All Stops,Single-line,120,Allow Train T0571 to go first,,,,,
T0572,Passenger,Section_47,47,36,Occupied,All Stops,Single-line,60,Reroute Train T0572,,,Section_34 → Station_24 → Section_1,7.0,Maintenance
T0573,Freight,Section_42,68,27,Free,Skip,Double-line,90,Hold Train T0573,Station_19,26.0,,,
T0574,Passenger,Station_33,103,17,Free,Skip,Double-line,90,Reroute Train T0574,,,Section_22 → Section_28 → Station_37,23.0,Accident
T0575,Express,Section_16,11,7,Free,Skip,Double-line,90,Reroute Train T0575,,,Station_45 → Section_18 → Station_28,23.0,Accident
T0576,Passenger,Section_1,51,10,Free,All Stops,Single-line,60,Hold Train T0576,Station_40,20.0,,,
T0577,Express,Station_41,89,26,Occupied,Skip,Single-line,100,Allow Train T0577 to go first,,,,,
T0578,Passenger,Station_18,39,34,Occupied,Skip,Double-line,60,Hold Train T0578,Station_29,25.0,,,
T0579,Express,Section_47,53,57,Occupied,Skip,Single-line,80,Hold Train T0579,Station_5,16.0,,,
T0580,Freight,Station_47,3,4,Occupied,Skip,Single-line,60,Hold Train T0580,Station_15,26.0,,,
T0581,Freight,Section_32,11,27,Occupied,Skip,Double-line,100,Allow Train T0581 to go first,,,,,
T0582,Passenger,Section_18,56,36,Free,All Stops,Single-line,80,Hold Train T0582,Station_20,7.0,,,
T0583,Express,Station_32,75,20,Occupied,All Stops,Double-line,60,Reroute Train T0583,,,Station_49 → Station_34 → Section_44,28.0,Congestion
T0584,Express,Section_38,103,20,Occupied,Skip,Double-line,120,Hold Train T0584,Station_8,23.0,,,
T0585,Freight,Station_11,97,41,Occupied,All Stops,Double-line,120,Hold Train T0585,Station_38,11.0,,,
T0586,Passenger,Station_43,49,56,Free,Skip,Single-line,90,Reroute Train T0586,,,Section_28 → Section_14 → Station_34,40.0,Weather
T0587,Passenger,Section_21,0,23,Occupied,Skip,Single-line,80,Reroute Train T0587,,,Section_39 → Section_12 → Section_11,10.0,Accident
T0588,Express,Station_1,103,41,Free,Skip,Single-line,60,Reroute Train T0588,,,Station_47 → Section_6 → Section_13,20.0,Congestion
T0589,Express,Station_19,88,45,Occupied,Skip,Single-line,80,Reroute Train T0589,,,Section_2 → Station_38 → Station_34,7.0,Congestion
T0590,Freight,Station_18,41,15,Free,All Stops,Double-line,100,Reroute Train T0590,,,Section_26 → Section_34 → Station_24,21.0,Congestion
T0591,Passenger,Section_11,117,15,Free,Skip,Double-line,120,Allow Train T0591 to go first,,,,,
T0592,Express,Station_18,30,43,Free,Skip,Single-line,90,Reroute Train T0592,,,Station_1 → Station_9 → Section_5,17.0,Congestion
T0593,Express,Section_17,35,18,Free,Skip,Double-line,100,Reroute Train T0593,,,Station_10 → Section_28 → Section_26,38.0,Congestion
T0594,Freight,Station_2,102,43,Occupied,All Stops,Double-line,60,Hold Train T0594,Station_18,27.0,,,
T0595,Passenger,Station_17,114,24,Free,All Stops,Double-line,100,Reroute Train T0595,,,Section_39 → Section_28 → Section_30,9.0,Congestion
T0596,Freight,Station_29,15,1,Free,All Stops,Double-line,80,Allow Train T0596 to go first,,,,,
T0597,Freight,Station_20,23,49,Occupied,Skip,Single-line,100,Hold Train T0597,Station_30,19.0,,,
T0598,Express,Station_27,120,4,Occupied,Skip,Double-line,100,Hold Train T0598,Station_47,20.0,,,
T0599,Express,Section_7,0,13,Occupied,Skip,Single-line,100,Allow Train T0599 to go first,,,,,
T0600,Passenger,Section_29,40,10,Occupied,Skip,Double-line,60,Reroute Train T0600,,,Station_5 → Section_32 → Section_11,24.0,Maintenance
T0601,Express,Section_14,34,1,Occupied,All Stops,Double-line,110,Allow Train T0601 to go first,,,,,
T0602,Passenger,Section_9,53,8,Occupied,Skip,Double-line,80,Allow Train T0602 to go first,,,,,
T0603,Express,Station_32,90,25,Free,All Stops,Double-line,90,Hold Train T0603,Station_47,7.0,,,
T0604,Passenger,Section_24,57,17,Occupied,All Stops,Single-line,60,Reroute Train T0604,,,Station_28 → Section_26 → Section_40,36.0,Accident
T0605,Freight,Station_10,32,38,Occupied,Skip,Double-line,90,Allow Train T0605 to go first,,,,,
T0606,Passenger,Section_27,89,51,Free,Skip,Double-line,100,Hold Train T0606,Station_14,9.0,,,
T0607,Express,Section_46,28,37,Occupied,All Stops,Single-line,80,Allow Train T0607 to go first,,,,,
T0608,Express,Section_42,70,37,Free,Skip,Double-line,110,Hold Train T0608,Station_36,15.0,,,
T0609,Express,Station_33,2,0,Free,Skip,Double-line,100,Reroute Train T0609,,,Section_40 → Station_21 → Station_18,17.0,Accident
T0610,Passenger,Station_39,22,52,Free,All Stops,Double-line,120,Hold Train T0610,Station_48,21.0,,,
T0611,Freight,Section_13,8,54,Free,Skip,Single-line,100,Reroute Train T0611,,,Section_33 → Section_20 → Section_34,35.0,Maintenance
T0612,Passenger,Section_35,69,54,Occupied,Skip,Double-line,110,Allow Train T0612 to go first,,,,,
T0613,Passenger,Section_40,9,46,Free,All Stops,Double-line,100,Hold Train T0613,Station_30,28.0,,,
T0614,Freight,Section_27,68,55,Occupied,All Stops,Single-line,120,Hold Train T0614,Station_33,18.0,,,
T0615,Freight,Section_7,79,17,Occupied,Skip,Single-line,60,Reroute Train T0615,,,Section_7 → Station_20 → Station_26,30.0,Maintenance
T0616,Express,Section_20,7,36,Free,All Stops,Single-line,100,Hold Train T0616,Station_9,5.0,,,
T0617,Express,Section_4,41,22,Occupied,All Stops,Double-line,90,Hold Train T0617,Station_32,26.0,,,
T0618,Freight,Section_2,41,20,Occupied,All Stops,Double-line,60,Allow Train T0618 to go first,,,,,
T0619,Passenger,Section_11,55,17,Free,Skip,Single-line,100,Reroute Train T0619,,,Section_8 → Station_44 → Section_17,31.0,Congestion
T0620,Passenger,Section_38,7,22,Free,All Stops,Double-line,90,Hold Train T0620,Station_21,8.0,,,
T0621,Express,Station_23,114,16,Occupied,All Stops,Single-line,110,Reroute Train T0621,,,Section_29 → Section_11 → Station_38,5.0,Congestion
T0622,Express,Station_26,67,26,Occupied,Skip,Single-line,90,Hold Train T0622,Station_3,28.0,,,
T0623,Express,Section_8,2,15,Occupied,Skip,Single-line,110,Hold Train T0623,Station_18,9.0,,,
T0624,Express,Section_16,82,26,Free,Skip,Single-line,120,Hold Train T0624,Station_47,6.0,,,
T0625,Freight,Section_29,94,34,Free,Skip,Double-line,120,Allow Train T0625 to go first,,,,,
T0626,Express,Station_35,85,37,Free,All Stops,Single-line,110,Hold Train T0626,Station_39,20.0,,,
T0627,Freight,Section_13,17,53,Occupied,All Stops,Single-line,110,Hold Train T0627,Station_8,11.0,,,
T0628,Passenger,Station_50,78,17,Free,All Stops,Double-line,60,Hold Train T0628,Station_14,16.0,,,
T0629,Passenger,Section_47,88,31,Occupied,Skip,Double-line,100,Reroute Train T0629,,,Section_32 → Station_29 → Section_24,21.0,Maintenance
T0630,Passenger,Section_25,106,40,Free,Skip,Double-line,60,Allow Train T0630 to go first,,,,,
T0631,Freight,Section_29,32,17,Free,Skip,Single-line,60,Hold Train T0631,Station_34,24.0,,,
T0632,Express,Station_43,66,17,Free,All Stops,Single-line,90,Allow Train T0632 to go first,,,,,
T0633,Express,Station_30,12,36,Occupied,All Stops,Double-line,90,Reroute Train T0633,,,Section_6 → Section_9 → Station_47,28.0,Maintenance
T0634,Freight,Station_40,8,32,Occupied,All Stops,Single-line,80,Allow Train T0634 to go first,,,,,
T0635,Freight,Section_17,96,46,Free,All Stops,Double-line,120,Reroute Train T0635,,,Station_36 → Station_14 → Section_24,31.0,Congestion
T0636,Express,Section_33,98,14,Free,All Stops,Single-line,120,Reroute Train T0636,,,Station_47 → Section_43 → Section_21,29.0,Accident
T0637,Express,Section_9,53,53,Occupied,All Stops,Single-line,60,Hold Train T0637,Station_13,27.0,,,
T0638,Express,Station_50,51,11,Free,Skip,Double-line,60,Reroute Train T0638,,,Section_48 → Station_12 → Section_10,39.0,Congestion
T0639,Passenger,Section_50,18,56,Occupied,All Stops,Double-line,110,Hold Train T0639,Station_27,24.0,,,
T0640,Freight,Section_26,107,1,Occupied,Skip,Single-line,80,Hold Train T0640,Station_47,9.0,,,
T0641,Express,Section_34,60,7,Occupied,Skip,Single-line,80,Allow Train T0641 to go first,,,,,
T0642,Passenger,Section_37,105,36,Free,Skip,Double-line,90,Hold Train T0642,Station_46,22.0,,,
T0643,Freight,Section_32,57,3,Occupied,All Stops,Double-line,110,Hold Train T0643,Station_46,13.0,,,
T0644,Express,Section_31,101,28,Occupied,All Stops,Double-line,90,Allow Train T0644 to go first,,,,,
T0645,Freight,Section_18,9,52,Free,All Stops,Single-line,100,Reroute Train T0645,,,Station_9 → Station_46 → Section_25,9.0,Accident
T0646,Passenger,Section_28,7,35,Occupied,All Stops,Double-line,80,Hold Train T0646,Station_36,11.0,,,
T0647,Freight,Station_34,70,32,Occupied,All Stops,Single-line,110,Allow Train T0647 to go first,,,,,
T0648,Express,Station_3,87,30,Occupied,Skip,Single-line,80,Reroute Train T0648,,,Section_2 → Section_38 → Station_14,16.0,Maintenance
T0649,Freight,Section_36,77,1,Occupied,Skip,Single-line,80,Reroute Train T0649,,,Section_33 → Section_20 → Section_17,29.0,Maintenance
T0650,Freight,Section_49,17,52,Free,All Stops,Single-line,100,Hold Train T0650,Station_46,29.0,,,
T0651,Freight,Station_5,111,7,Free,All Stops,Single-line,80,Hold Train T0651,Station_50,9.0,,,
T0652,Freight,Section_22,18,24,Free,Skip,Double-line,120,Reroute Train T0652,,,Section_35 → Section_6 → Station_39,34.0,Maintenance
T0653,Express,Section_42,40,2,Occupied,All Stops,Double-line,100,Reroute Train T0653,,,Section_29 → Section_3 → Section_17,19.0,Congestion
T0654,Passenger,Station_46,88,28,Free,All Stops,Double-line,80,Reroute Train T0654,,,Station_13 → Section_49 → Station_22,18.0,Maintenance
T0655,Passenger,Station_43,43,40,Free,All Stops,Double-line,120,Allow Train T0655 to go first,,,,,
T0656,Passenger,Station_17,82,5,Occupied,Skip,Double-line,120,Hold Train T0656,Station_17,6.0,,,
T0657,Passenger,Station_48,65,34,Free,Skip,Single-line,90,Allow Train T0657 to go first,,,,,
T0658,Passenger,Section_12,6,41,Free,Skip,Single-line,120,Hold Train T0658,Station_4,11.0,,,
T0659,Passenger,Section_19,56,7,Occupied,All Stops,Single-line,120,Allow Train T0659 to go first,,,,,
T0660,Freight,Section_32,56,56,Occupied,All Stops,Single-line,80,Allow Train T0660 to go first,,,,,
T0661,Freight,Station_39,102,49,Occupied,All Stops,Double-line,110,Hold Train T0661,Station_17,18.0,,,
T0662,Passenger,Section_24,103,18,Free,Skip,Double-line,120,Hold Train T0662,Station_20,5.0,,,
T0663,Express,Section_6,27,60,Free,All Stops,Double-line,80,Hold Train T0663,Station_33,26.0,,,
T0664,Express,Station_16,45,37,Occupied,All Stops,Double-line,120,Allow Train T0664 to go first,,,,,
T0665,Freight,Section_41,85,9,Occupied,Skip,Single-line,110,Hold Train T0665,Station_36,29.0,,,
T0666,Freight,Station_27,90,2,Free,Skip,Double-line,110,Hold Train T0666,Station_46,26.0,,,
T0667,Passenger,Section_33,20,52,Free,Skip,Single-line,90,Allow Train T0667 to go first,,,,,
T0668,Passenger,Section_45,47,4,Occupied,All Stops,Single-line,110,Hold Train T0668,Station_25,5.0,,,
T0669,Passenger,Station_27,38,18,Occupied,All Stops,Double-line,100,Allow Train T0669 to go first,,,,,
T0670,Freight,Station_16,44,47,Occupied,All Stops,Single-line,120,Hold Train T0670,Station_18,28.0,,,
T0671,Freight,Station_15,54,4,Occupied,Skip,Double-line,60,Allow Train T0671 to go first,,,,,
T0672,Express,Station_10,65,42,Free,All Stops,Single-line,120,Hold Train T0672,Station_7,12.0,,,
T0673,Passenger,Station_36,85,30,Occupied,Skip,Double-line,110,Allow Train T0673 to go first,,,,,
T0674,Freight,Section_13,103,28,Occupied,Skip,Single-line,110,Reroute Train T0674,,,Station_17 → Section_19 → Section_2,23.0,Congestion
T0675,Express,Section_49,119,1,Free,All Stops,Double-line,120,Allow Train T0675 to go first,,,,,
T0676,Freight,Section_43,82,37,Occupied,Skip,Single-line,110,Allow Train T0676 to go first,,,,,
T0677,Passenger,Station_49,57,29,Free,All Stops,Double-line,100,Hold Train T0677,Station_5,5.0,,,
T0678,Express,Station_41,95,25,Free,All Stops,Single-line,60,Allow Train T0678 to go first,,,,,
T0679,Express,Station_18,87,44,Free,All Stops,Single-line,60,Allow Train T0679 to go first,,,,,
T0680,Freight,Section_7,54,35,Free,All Stops,Double-line,90,Reroute Train T0680,,,Section_45 → Station_3 → Station_13,35.0,Weather
T0681,Freight,Station_10,41,9,Occupied,All Stops,Double-line,60,Hold Train T0681,Station_19,5.0,,,
T0682,Freight,Station_22,27,15,Occupied,Skip,Double-line,90,Hold Train T0682,Station_24,18.0,,,
T0683,Passenger,Station_18,111,51,Occupied,Skip,Single-line,110,Hold Train T0683,Station_16,20.0,,,
T0684,Express,Station_49,27,4,Occupied,All Stops,Double-line,90,Reroute Train T0684,,,Section_48 → Station_21 → Section_32,16.0,Weather
T0685,Freight,Section_7,48,54,Occupied,Skip,Double-line,110,Allow Train T0685 to go first,,,,,
T0686,Express,Station_28,118,54,Occupied,Skip,Single-line,120,Hold Train T0686,Station_22,7.0,,,
T0687,Freight,Section_43,26,53,Occupied,All Stops,Double-line,110,Hold Train T0687,Station_31,9.0,,,
T0688,Express,Section_19,116,34,Free,Skip,Double-line,100,Allow Train T0688 to go first,,,,,
T0689,Express,Station_9,32,59,Occupied,All Stops,Double-line,120,Reroute Train T0689,,,Section_40 → Station_11 → Station_48,35.0,Accident
T0690,Freight,Station_26,19,22,Free,Skip,Double-line,120,Reroute Train T0690,,,Section_9 → Section_18 → Section_17,34.0,Accident
T0691,Express,Station_9,17,55,Free,All Stops,Single-line,110,Hold Train T0691,Station_19,12.0,,,
T0692,Passenger,Section_14,83,27,Occupied,Skip,Single-line,60,Reroute Train T0692,,,Section_18 → Station_48 → Section_15,8.0,Maintenance
T0693,Express,Section_43,89,34,Occupied,Skip,Single-line,90,Allow Train T0693 to go first,,,,,
T0694,Freight,Station_11,41,5,Free,All Stops,Single-line,100,Hold Train T0694,Station_35,18.0,,,
T0695,Express,Section_31,13,60,Free,All Stops,Single-line,110,Hold Train T0695,Station_7,6.0,,,
T0696,Freight,Section_36,51,40,Occupied,All Stops,Double-line,80,Hold Train T0696,Station_49,19.0,,,
T0697,Express,Section_3,82,35,Free,Skip,Double-line,110,Reroute Train T0697,,,Station_26 → Station_32 → Section_43,9.0,Accident
T0698,Passenger,Station_23,90,47,Free,Skip,Double-line,60,Allow Train T0698 to go first,,,,,
T0699,Express,Station_25,6,11,Occupied,All Stops,Double-line,120,Allow Train T0699 to go first,,,,,
T0700,Freight,Station_42,117,53,Free,Skip,Double-line,120,Allow Train T0700 to go first,,,,,
T0701,Express,Station_38,100,9,Free,All Stops,Double-line,100,Allow Train T0701 to go first,,,,,
T0702,Express,Station_41,9,16,Occupied,Skip,Single-line,60,Hold Train T0702,Station_28,12.0,,,
T0703,Express,Section_45,66,9,Free,Skip,Single-line,90,Allow Train T0703 to go first,,,,,
T0704,Express,Station_41,29,55,Free,Skip,Single-line,60,Hold Train T0704,Station_25,9.0,,,
T0705,Freight,Station_4,12,42,Free,Skip,Single-line,80,Hold Train T0705,Station_35,14.0,,,
T0706,Express,Station_29,73,6,Free,Skip,Single-line,90,Allow Train T0706 to go first,,,,,
T0707,Freight,Station_49,14,50,Free,Skip,Single-line,120,Reroute Train T0707,,,Station_33 → Station_43 → Section_3,23.0,Accident
T0708,Express,Station_28,38,11,Occupied,All Stops,Double-line,110,Hold Train T0708,Station_28,30.0,,,
T0709,Express,Station_23,33,37,Occupied,All Stops,Single-line,90,Allow Train T0709 to go first,,,,,
T0710,Freight,Station_7,93,51,Occupied,Skip,Double-line,100,Reroute Train T0710,,,Section_36 → Section_11 → Section_31,20.0,Accident
T0711,Freight,Section_24,70,40,Occupied,Skip,Double-line,80,Hold Train T0711,Station_26,29.0,,,
T0712,Express,Station_43,88,11,Occupied,All Stops,Double-line,90,Reroute Train T0712,,,Station_9 → Station_35 → Section_13,29.0,Congestion
T0713,Passenger,Station_32,111,40,Free,All Stops,Double-line,90,Allow Train T0713 to go first,,,,,
T0714,Passenger,Section_11,100,23,Free,Skip,Double-line,110,Reroute Train T0714,,,Station_48 → Station_21 → Station_37,33.0,Accident
T0715,Passenger,Section_6,92,20,Free,All Stops,Single-line,110,Reroute Train T0715,,,Section_40 → Section_39 → Section_3,13.0,Accident
T0716,Freight,Station_32,19,18,Free,All Stops,Double-line,110,Allow Train T0716 to go first,,,,,
T0717,Passenger,Station_14,43,30,Free,Skip,Double-line,120,Reroute Train T0717,,,Section_4 → Station_26 → Section_46,40.0,Congestion
T0718,Passenger,Station_35,27,60,Occupied,All Stops,Double-line,110,Reroute Train T0718,,,Section_5 → Station_32 → Section_36,6.0,Weather
T0719,Express,Section_1,93,34,Free,All Stops,Double-line,110,Reroute Train T0719,,,Station_31 → Section_29 → Section_28,39.0,Maintenance
T0720,Passenger,Station_13,45,55,Free,Skip,Single-line,100,Reroute Train T0720,,,Section_34 → Station_26 → Section_39,34.0,Maintenance
T0721,Express,Station_32,2,31,Free,All Stops,Single-line,100,Allow Train T0721 to go first,,,,,
T0722,Passenger,Section_39,21,49,Free,Skip,Double-line,110,Reroute Train T0722,,,Section_5 → Section_12 → Section_21,6.0,Congestion
T0723,Passenger,Section_44,35,36,Free,Skip,Single-line,60,Hold Train T0723,Station_26,30.0,,,
T0724,Express,Section_26,98,19,Occupied,All Stops,Single-line,90,Reroute Train T0724,,,Station_36 → Station_19 → Section_46,15.0,Weather
T0725,Freight,Station_38,44,48,Occupied,Skip,Single-line,110,Allow Train T0725 to go first,,,,,
T0726,Passenger,Station_18,95,59,Occupied,Skip,Single-line,100,Reroute Train T0726,,,Station_34 → Section_15 → Section_36,10.0,Maintenance
T0727,Express,Section_33,52,44,Occupied,All Stops,Double-line,60,Reroute Train T0727,,,Section_3 → Section_8 → Section_37,6.0,Weather
T0728,Freight,Section_21,28,13,Occupied,Skip,Single-line,60,Allow Train T0728 to go first,,,,,
T0729,Passenger,Station_14,21,22,Free,Skip,Double-line,120,Allow Train T0729 to go first,,,,,
T0730,Freight,Section_28,34,46,Free,Skip,Single-line,80,Allow Train T0730 to go first,,,,,
T0731,Passenger,Station_35,27,30,Occupied,All Stops,Single-line,120,Hold Train T0731,Station_35,30.0,,,
T0732,Express,Station_37,5,52,Occupied,Skip,Single-line,60,Hold Train T0732,Station_32,24.0,,,
T0733,Express,Station_5,9,16,Free,Skip,Double-line,60,Hold Train T0733,Station_38,25.0,,,
T0734,Freight,Section_26,84,42,Free,Skip,Single-line,90,Reroute Train T0734,,,Station_21 → Station_5 → Station_20,38.0,Weather
T0735,Passenger,Station_16,51,58,Free,Skip,Single-line,80,Hold Train T0735,Station_10,8.0,,,
T0736,Express,Station_34,64,57,Occupied,All Stops,Double-line,80,Allow Train T0736 to go first,,,,,
T0737,Express,Station_41,25,4,Occupied,Skip,Double-line,110,Reroute Train T0737,,,Station_13 → Section_13 → Section_26,11.0,Congestion
T0738,Freight,Station_49,7,5,Occupied,All Stops,Single-line,120,Allow Train T0738 to go first,,,,,
T0739,Passenger,Station_15,26,56,Free,Skip,Double-line,60,Allow Train T0739 to go first,,,,,
T0740,Passenger,Section_10,85,55,Free,Skip,Single-line,90,Allow Train T0740 to go first,,,,,
T0741,Express,Station_17,107,34,Occupied,All Stops,Double-line,80,Hold Train T0741,Station_45,7.0,,,
T0742,Freight,Station_28,55,30,Occupied,All Stops,Double-line,90,Hold Train T0742,Station_13,24.0,,,
T0743,Express,Station_31,70,50,Free,Skip,Double-line,90,Reroute Train T0743,,,Station_15 → Section_35 → Station_49,12.0,Accident
T0744,Express,Station_32,82,9,Free,All Stops,Double-line,60,Allow Train T0744 to go first,,,,,
T0745,Freight,Station_31,10,58,Occupied,Skip,Double-line,60,Hold Train T0745,Station_39,26.0,,,
T0746,Passenger,Section_35,23,24,Free,All Stops,Double-line,90,Hold Train T0746,Station_11,15.0,,,
T0747,Express,Section_47,83,31,Occupied,Skip,Single-line,80,Reroute Train T0747,,,Station_47 → Station_37 → Section_13,9.0,Weather
